sale_id,product,category,price,quantity,total,date,store,city
0.0,Juice,Meat,9.15,ten,,01/08/2024,MG,Sfax
1.0,Pasta,Fruits,45.43,ten,,2022-03-11,Carrefour,Ariana
2.0,Apple,Dairy,33.89,-3,-101.67,2023-13-01,Carrefour,Ariana
3.0,Milk,Dairy,24.27,23,558.21,2023-13-01,,Sousse
,Rice,Fruits,0.89,ten,error,09/05/2023,,Sousse
5.0,Rice,Dairy,15.52,,,2023-13-01,Carrefour,Tunis
6.0,Rice,,21.18,ten,-100,,Aziza,Sousse
7.0,Bread,,45.55,11,501.04999999999995,2024-08-31,Carrefour,Sousse
8.0,Milk,Fruits,46.08,17,783.36,,Carrefour,Sousse
9.0,Apple,,40.91,ten,,26/02/2024,Carrefour,Sousse
,Apple,Dairy,13.73,,error,,Aziza,Sfax
11.0,Rice,Dry,5.22,21,109.61999999999999,2023-08-28,Carrefour,Sousse
12.0,Eggs,Dry,12.42,3,37.26,,MG,Sousse
13.0,Bread,Fruits,18.7,,-100,2022-07-31,MG,Tunis
14.0,Chicken,Dry,-4.32,,,13/05/2023,Aziza,Sfax
15.0,Banana,Dry,3.03,,error,2023-13-01,Aziza,Tunis
16.0,Apple,Dry,27.66,,error,2023-13-01,Carrefour,Ariana
17.0,Rice,Meat,19.21,ten,error,2023-13-01,,Sfax
18.0,Rice,Meat,11.03,ten,error,,MG,Ariana
19.0,Apple,,49.85,ten,-100,03/08/2024,Aziza,Sousse
,Rice,Dry,2.65,16,42.4,,Aziza,Tunis
21.0,Pasta,,17.04,ten,,2023-13-01,,Tunis
22.0,Chicken,Fruits,30.58,ten,,,Carrefour,Tunis
23.0,Juice,,25.69,,error,,,Sfax
24.0,Pasta,Dairy,11.25,2,22.5,2023-13-01,MG,Ariana
25.0,Juice,Dry,14.16,,-100,2024-07-15,MG,Tunis
26.0,Chicken,Dairy,32.24,ten,error,22/11/2024,,Sfax
27.0,Pasta,Fruits,38.88,8,311.04,2024-06-04,,Sfax
28.0,Rice,Dry,-4.76,10,-47.599999999999994,2023-07-25,,Sfax
29.0,Apple,Dry,1.27,ten,error,,,Tunis
30.0,Pasta,,4.49,ten,error,2023-13-01,Carrefour,Sfax
31.0,Chicken,Fruits,23.1,ten,-100,,Monoprix,Ariana
32.0,Eggs,,4.18,15,62.699999999999996,,,Tunis
33.0,Milk,Dry,2.51,ten,-100,,Aziza,Ariana
34.0,Pasta,Fruits,-0.45,-2,0.9,2023-13-01,Monoprix,Sousse
35.0,Pasta,,35.84,ten,-100,2024-11-12,MG,Sousse
36.0,Milk,Dry,25.05,24,601.2,2023-05-22,Aziza,Sousse
37.0,Bread,Dry,42.59,4,170.36,,Monoprix,Sfax
38.0,Apple,Dairy,26.35,ten,-100,2023-13-01,MG,Sousse
39.0,Bread,Fruits,47.95,23,1102.8500000000001,17/09/2022,Monoprix,Sfax
40.0,Apple,Dry,21.92,ten,error,,Carrefour,Tunis
41.0,Banana,Meat,20.01,,-100,,MG,Tunis
42.0,Rice,Fruits,22.21,,,,MG,Tunis
,Pasta,Dairy,1.83,,-100,,Monoprix,Sfax
44.0,Banana,Dairy,31.0,13,403.0,2024-02-01,Aziza,Sousse
45.0,Apple,Dry,31.05,3,93.15,2023-03-14,Monoprix,Sfax
46.0,Pasta,Dairy,-4.56,18,-82.08,,Carrefour,Sfax
47.0,Bread,Dairy,12.23,16,195.68,30/09/2022,Carrefour,Tunis
48.0,Eggs,Dry,14.32,ten,,,Monoprix,Tunis
49.0,Bread,,35.15,,,14/10/2022,MG,Tunis
50.0,Banana,Dairy,41.63,16,666.08,09/11/2024,Aziza,Sousse
51.0,Apple,Dry,16.22,,,2022-05-26,MG,Sousse
52.0,Rice,Meat,25.05,,,2022-05-30,Carrefour,Sousse
,Milk,Dry,22.86,,error,2024-05-17,,Sfax
,Bread,,45.65,ten,-100,2023-11-01,MG,Ariana
55.0,Apple,Dairy,8.45,24,202.79999999999998,2023-13-01,Monoprix,Tunis
,Eggs,Dairy,4.01,ten,-100,15/06/2023,MG,Sfax
57.0,Banana,Dairy,37.43,,error,2024-05-29,MG,Tunis
58.0,Chicken,Dairy,22.48,,,2022-11-19,,Tunis
59.0,Milk,Dairy,42.23,-3,-126.69,2023-13-01,Aziza,Sfax
60.0,Milk,,39.17,23,900.9100000000001,,MG,Sousse
61.0,Chicken,Dairy,22.61,0,0.0,2023-04-03,Aziza,Tunis
62.0,Banana,Meat,13.0,26,338.0,2023-13-01,,Sousse
63.0,Apple,Dry,15.26,28,427.28,2023-05-18,Aziza,Tunis
64.0,Chicken,Dairy,47.3,ten,error,2024-02-10,Monoprix,Sfax
65.0,Milk,Fruits,34.14,2,68.28,,MG,Ariana
66.0,Bread,,0.26,ten,,2024-03-18,Aziza,Sfax
67.0,Chicken,Dry,33.54,,,11/07/2023,Carrefour,Sfax
68.0,Bread,Fruits,0.81,,,2023-10-06,,Sousse
69.0,Pasta,Meat,41.89,2,83.78,24/03/2022,MG,Sfax
,Apple,Meat,16.79,ten,error,17/06/2023,Carrefour,Ariana
71.0,Juice,Fruits,0.21,3,0.63,2022-09-06,Monoprix,Sfax
72.0,Rice,Meat,32.75,ten,-100,2023-06-15,Carrefour,Sfax
73.0,Eggs,Dairy,44.78,18,806.04,2022-03-29,Monoprix,Ariana
74.0,Rice,Dry,-3.38,24,-81.12,16/03/2023,MG,Sousse
75.0,Eggs,Dairy,28.78,ten,,,,Ariana
,Rice,Fruits,18.06,30,541.8,2023-13-01,Aziza,Ariana
77.0,Juice,Meat,16.36,8,130.88,2023-10-16,MG,Tunis
78.0,Pasta,,14.66,11,161.26,23/05/2023,MG,Tunis
79.0,Apple,,41.56,,-100,27/12/2022,,Sousse
80.0,Milk,Meat,47.12,ten,,2023-13-01,Monoprix,Ariana
,Apple,,7.03,,-100,11/11/2023,Monoprix,Sousse
82.0,Chicken,Dairy,-3.79,6,-22.740000000000002,2024-12-13,MG,Ariana
83.0,Chicken,Meat,12.74,ten,,2023-13-01,Monoprix,Sousse
84.0,Eggs,Dry,11.88,15,178.20000000000002,,,Tunis
85.0,Chicken,,7.15,,error,2022-10-16,Monoprix,Sousse
86.0,Bread,Meat,19.56,13,254.27999999999997,2023-13-01,MG,Tunis
